fa-youtube-play fa-youtube
fa-yen fa-yen-sign
fa-yc-square fa-hacker-news
fa-yc fa-y-combinator
fa-y-combinator-square fa-hacker-news
fa-won fa-won-sign
fa-window-close-o fa-window-close
fa-wheelchair-alt fa-accessible-icon
fa-wechat fa-weixin
fa-warning fa-exclamation-triangle
fa-volume-control-phone fa-phone-volume
fa-vimeo fa-vimeo-v
fa-video-camera fa-video
fa-vcard-o fa-address-card
fa-vcard fa-address-card
fa-user-o fa-user
fa-user-circle-o fa-user-circle
fa-usd fa-dollar-sign
fa-turkish-lira fa-lira-sign
fa-try fa-lira-sign
fa-trash-o fa-trash-alt
fa-trash fa-trash-alt
fa-toggle-up fa-caret-square-up
fa-toggle-right fa-caret-square-right
fa-toggle-left fa-caret-square-left
fa-toggle-down fa-caret-square-down
fa-times-rectangle-o fa-window-close
fa-times-rectangle fa-window-close
fa-times-circle-o fa-times-circle
fa-ticket fa-ticket-alt
fa-thumbs-o-up fa-thumbs-up
fa-thumbs-o-down fa-thumbs-down
fa-thumb-tack fa-thumbtack
fa-thermometer-4 fa-thermometer-full
fa-thermometer-3 fa-thermometer-three-quarters
fa-thermometer-2 fa-thermometer-half
fa-thermometer-1 fa-thermometer-quarter
fa-thermometer-0 fa-thermometer-empty
fa-thermometer fa-thermometer-full
fa-television fa-tv
fa-tachometer fa-tachometer-alt
fa-tablet fa-tablet-alt
fa-support fa-life-ring
fa-sun-o fa-sun
fa-stop-circle-o fa-stop-circle
fa-sticky-note-o fa-sticky-note
fa-star-o fa-star
fa-star-half-o fa-star-half
fa-star-half-full fa-star-half
fa-star-half-empty fa-star-half
fa-square-o fa-square
fa-spoon fa-utensil-spoon
fa-sort-numeric-desc fa-sort-numeric-up
fa-sort-numeric-asc fa-sort-numeric-down
fa-sort-desc fa-sort-down
fa-sort-asc fa-sort-up
fa-sort-amount-desc fa-sort-amount-up
fa-sort-amount-asc fa-sort-amount-down
fa-sort-alpha-desc fa-sort-alpha-up
fa-sort-alpha-asc fa-sort-alpha-down
fa-smile-o fa-smile
fa-sliders fa-sliders-h
fa-signing fa-sign-language
fa-sign-out fa-sign-out-alt
fa-sign-in fa-sign-in-alt
fa-shield fa-shield-alt
fa-sheqel fa-shekel-sign
fa-shekel fa-shekel-sign
fa-share-square-o fa-share-square
fa-send-o fa-paper-plane
fa-send fa-paper-plane
fa-scissors fa-cut
fa-s15 fa-bath
fa-rupee fa-rupee-sign
fa-ruble fa-ruble-sign
fa-rub fa-ruble-sign
fa-rouble fa-ruble-sign
fa-rotate-right fa-redo
fa-rotate-left fa-undo
fa-rmb fa-yen-sign
fa-resistance fa-rebel
fa-repeat fa-redo
fa-reorder fa-bars
fa-remove fa-times
fa-refresh fa-sync
fa-ra fa-rebel
fa-question-circle-o fa-question-circle
fa-plus-square-o fa-plus-square
fa-play-circle-o fa-play-circle
fa-pie-chart fa-chart-pie
fa-picture-o fa-image
fa-photo fa-image
fa-pencil-square-o fa-edit
fa-pencil-square fa-pen-square
fa-pencil fa-pencil-alt
fa-pause-circle-o fa-pause-circle
fa-paste fa-clipboard
fa-paper-plane-o fa-paper-plane
fa-newspaper-o fa-newspaper
fa-navicon fa-bars
fa-mortar-board fa-graduation-cap
fa-moon-o fa-moon
fa-money fa-money-bill-alt
fa-mobile-phone fa-mobile-alt
fa-mobile fa-mobile-alt
fa-minus-square-o fa-minus-square
fa-meh-o fa-meh
fa-meanpath fa-font-awesome
fa-map-o fa-map
fa-map-marker fa-map-marker-alt
fa-mail-reply-all fa-reply-all
fa-mail-reply fa-reply
fa-mail-forward fa-share
fa-long-arrow-up fa-long-arrow-alt-up
fa-long-arrow-right fa-long-arrow-alt-right
fa-long-arrow-left fa-long-arrow-alt-left
fa-long-arrow-down fa-long-arrow-alt-down
fa-linkedin-square fa-linkedin
fa-linkedin fa-linkedin-in
fa-line-chart fa-chart-line
fa-lightbulb-o fa-lightbulb
fa-life-saver fa-life-ring
fa-life-buoy fa-life-ring
fa-life-bouy fa-life-ring
fa-level-up fa-level-up-alt
fa-level-down fa-level-down-alt
fa-lemon-o fa-lemon
fa-legal fa-gavel
fa-krw fa-won-sign
fa-keyboard-o fa-keyboard
fa-jpy fa-yen-sign
fa-intersex fa-transgender
fa-institution fa-university
fa-inr fa-rupee-sign
fa-ils fa-shekel-sign
fa-id-card-o fa-id-card
fa-hourglass-o fa-hourglass
fa-hourglass-3 fa-hourglass-end
fa-hourglass-2 fa-hourglass-half
fa-hourglass-1 fa-hourglass-start
fa-hotel fa-bed
fa-hospital-o fa-hospital
fa-heart-o fa-heart
fa-header fa-heading
fa-hdd-o fa-hdd
fa-hard-of-hearing fa-deaf
fa-handshake-o fa-handshake
fa-hand-stop-o fa-hand-paper
fa-hand-spock-o fa-hand-spock
fa-hand-scissors-o fa-hand-scissors
fa-hand-rock-o fa-hand-rock
fa-hand-pointer-o fa-hand-pointer
fa-hand-peace-o fa-hand-peace
fa-hand-paper-o fa-hand-paper
fa-hand-o-up fa-hand-point-up
fa-hand-o-right fa-hand-point-right
fa-hand-o-left fa-hand-point-left
fa-hand-o-down fa-hand-point-down
fa-hand-lizard-o fa-hand-lizard
fa-hand-grab-o fa-hand-rock
fa-group fa-users
fa-google-plus-official fa-google-plus
fa-google-plus-circle fa-google-plus
fa-google-plus fa-google-plus-g
fa-glass fa-glass-martini
fa-gittip fa-gratipay
fa-gears fa-cogs
fa-gear fa-cog
fa-ge fa-empire
fa-gbp fa-pound-sign
fa-futbol-o fa-futbol
fa-frown-o fa-frown
fa-folder-open-o fa-folder-open
fa-folder-o fa-folder
fa-floppy-o fa-save
fa-flash fa-bolt
fa-flag-o fa-flag
fa-files-o fa-copy
fa-file-zip-o fa-file-archive
fa-file-word-o fa-file-word
fa-file-video-o fa-file-video
fa-file-text-o fa-file-alt
fa-file-text fa-file-alt
fa-file-sound-o fa-file-audio
fa-file-powerpoint-o fa-file-powerpoint
fa-file-picture-o fa-file-image
fa-file-photo-o fa-file-image
fa-file-pdf-o fa-file-pdf
fa-file-o fa-file
fa-file-movie-o fa-file-video
fa-file-image-o fa-file-image
fa-file-excel-o fa-file-excel
fa-file-code-o fa-file-code
fa-file-audio-o fa-file-audio
fa-file-archive-o fa-file-archive
fa-feed fa-rss
fa-facebook-official fa-facebook
fa-facebook fa-facebook-f
fa-fa fa-font-awesome
fa-eyedropper fa-eye-dropper
fa-external-link-square fa-external-link-square-alt
fa-external-link fa-external-link-alt
fa-exchange fa-exchange-alt
fa-euro fa-euro-sign
fa-eur fa-euro-sign
fa-envelope-open-o fa-envelope-open
fa-envelope-o fa-envelope
fa-eercast fa-sellcast
